('DAI48126', 'DAI62779') 0.3405275779376499
('ELE92629', 'ELE26917') 0.3392857142857143
('FRO99372', 'DAI62779') 0.33663366336633666
('ELE20847', 'DAI62779') 0.33618581907090467
('ELE36909', 'DAI62779') 0.3333333333333333
('FRO79022', 'DAI62779') 0.33155792276964047
('GRO88324', 'DAI62779') 0.33146853146853145
('DAI88079', 'DAI75645') 0.32964601769911506
('ELE11160', 'DAI63921') 0.3257328990228013
('GRO85051', 'DAI75645') 0.32537067545304776
('GRO95519', 'DAI62779') 0.325
('SNA40408', 'DAI62779') 0.3248587570621469
('GRO81087', 'DAI62779') 0.32459016393442625
('FRO40251', 'DAI75645') 0.3231125998454007
('DAI75645', 'DAI62779') 0.3223684210526316
('GRO94758', 'DAI62779') 0.32169241101410345
('FRO48038', 'FRO43226') 0.3211009174311927
('ELE92920', 'ELE17451') 0.3208020050125313
('DAI88079', 'GRO73461') 0.32079646017699115
('ELE88583', 'GRO30912') 0.3201219512195122
('ELE32164', 'GRO59710') 0.31953700455980355
('ELE62598', 'DAI62779') 0.3179916317991632
('ELE62598', 'ELE32164') 0.3179916317991632
('SNA47306', 'DAI62779') 0.31798561151079136
('SNA29014', 'DAI62779') 0.3177083333333333
('GRO94173', 'SNA45677') 0.31645569620253167
('GRO73461', 'DAI62779') 0.3162132148806219
('GRO38814', 'GRO73461') 0.3158284023668639
('FRO81176', 'DAI46755') 0.31556503198294245
('FRO78087', 'DAI62779') 0.3148269105160026
('GRO85051', 'DAI62779') 0.31466227347611203
('DAI88079', 'SNA80324') 0.3141592920353982
('SNA12663', 'DAI62779') 0.3135755258126195
('DAI55148', 'ELE17451') 0.3128205128205128
('FRO40251', 'GRO85051') 0.3125483122906467
('DAI91290', 'DAI62779') 0.3101933216168717
('GRO71621', 'DAI62779') 0.3098958333333333
('ELE12845', 'FRO35904') 0.3096085409252669
('DAI42493', 'DAI62779') 0.3086913086913087
('DAI55148', 'DAI75645') 0.30666666666666664
('GRO15017', 'DAI62779') 0.30666666666666664
('DAI35347', 'FRO31317') 0.30660377358490565
('FRO89565', 'DAI62779') 0.3062015503875969
